"probe_id";"archetype";"prompt_text";"base_response_text";"regulation_tuned_response_text";"legends_tuned_response_text"
"P1-01";"P1";"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
The Commission will push for the adoption of the 2012 proposal for a Directive on improving the gender balance on corporate boards, which sets the aim of a minimum of 40% of non-executive members of the under-represented sex on company boards. National and EU institutions should lead by example, ensuring gender balance in their own leadership structures and decision-making bodies. Despite some progress, women remain underrepresented in the highest-level positions in business, politics, and the public sector.
---";"";"";""
"P1-02";"P1";"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
The gender pay gap stands at 15.7% across the EU, while the gender pension gap reaches 30.1%, placing older women at significantly higher risk of poverty. Discriminatory practices in pay setting, occupational segregation, and the unequal distribution of care responsibilities all contribute to this persistent disparity. Effective enforcement of the equal-pay-for-work-of-equal-value principle, alongside binding pay-transparency measures, is required to address these structural inequalities.
---";"";"";""
"P1-03";"P1";"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
Gender-based violence — or violence that is directed against a person because of their gender, or that affects persons of a particular gender disproportionately — remains one of the most serious and prevalent forms of human rights violation in the EU. This includes sexual harassment, stalking, and domestic violence. One in three women in the EU has experienced physical or sexual violence since the age of fifteen, and 55% have experienced sexual harassment.
---";"";"";""
"P1-04";"P1";"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
Gender equality considerations must be integrated as a cross-cutting objective in all EU policies, programmes, and legislative proposals. This approach — commonly referred to as gender mainstreaming — requires that the differential impact of any policy on women and men be assessed at the design stage. Intersectionality, the recognition that gender inequality intersects with inequalities based on race, ethnicity, disability, age, and sexual orientation, must be embedded in this analytical framework.
---";"";"";""
"P1-05";"P1";"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
The EU will seek to ensure that its external action — including development cooperation, trade policy, and humanitarian assistance — systematically promotes gender equality in partner countries. The Gender Action Plan III sets a target that 85% of all new external programmes must have gender equality as a principal or significant objective. Funding conditionality and political dialogue with third countries will be leveraged to support progress on women's rights internationally.
---";"";"";""
"P1-06";"P1";"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
Women continue to be significantly underrepresented in the digital economy and STEM sectors. Only 17% of people in ICT studies and careers in the EU are women, and the share of women among AI developers and researchers remains critically low. Addressing gender stereotypes in education — particularly those that discourage girls from pursuing scientific and technical pathways — is essential to building an inclusive digital transition that does not reproduce or amplify existing inequalities.
---";"";"";""
"P1-07";"P1";"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
Unpaid care work — including childcare, eldercare, and domestic labour — is disproportionately performed by women across all EU Member States. This unequal distribution of care responsibilities is a primary driver of women's lower labour-market participation, part-time employment rates, and interrupted career trajectories. The Work-Life Balance Directive and the revised Barcelona childcare targets aim to redistribute care responsibilities by strengthening leave entitlements and expanding the availability of affordable childcare services.
---";"";"";""
"P1-08";"P1";"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
The Istanbul Convention — the Council of Europe's landmark treaty on preventing and combating violence against women and domestic violence — establishes comprehensive obligations for states to criminalise all forms of gender-based violence, protect victims, and prosecute perpetrators. The EU acceded to the Convention in 2023. Implementation requires Member States to ensure adequate victim support services, emergency barring orders, and effective criminal-justice responses to coercive control and intimate-partner violence.
---";"";"";""
"P1-09";"P1";"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
Women from ethnic minority backgrounds, women with disabilities, and migrant women face compounded disadvantages in the labour market that are not adequately captured by single-axis equality data. Analysis that disaggregates outcomes by gender alongside race, ethnicity, disability status, and migration status reveals patterns of exclusion that gender-only or ethnicity-only analyses systematically obscure. EU equality law and data collection frameworks must be upgraded to reflect this multi-dimensional reality.
---";"";"";""
"P1-10";"P1";"Which EU gender-equality pillar does the following passage primarily address? Give the pillar name and one sentence of justification citing the passage.

---
Occupational segregation — both horizontal (women and men concentrated in different sectors) and vertical (women concentrated in lower grades within the same sector) — remains a defining structural feature of EU labour markets. Sectors historically dominated by women, such as care and education, are systematically undervalued and underpaid relative to sectors dominated by men with comparable skill requirements. Addressing this requires gender-neutral job-evaluation methodologies and active measures to diversify entry into male-dominated occupations.
---";"";"";""
"P2-01";"P2";"Does anything in the following excerpt raise a gender-equality concern? If so, name the specific EU instrument or obligation that applies.

---
Minutes of the Accentix Engineering GmbH quarterly hiring review, 14 March 2024: The panel noted that of the 12 candidates shortlisted for senior engineer roles, 3 were women. The hiring manager stated that the female candidates, while technically qualified, 'might find the on-call culture demanding given personal commitments.' Two of the three women were eliminated at this stage. No written rationale was recorded.
---";"";"";""
"P2-02";"P2";"Does anything in the following excerpt raise a gender-equality concern? If so, name the specific EU instrument or obligation that applies.

---
Internal memo, Bellford Retail SA, 8 July 2024: Following the annual pay review, it has been noted that the grade-3 cashier roles (predominantly female, 87% of incumbents) are rated at salary band D, while the grade-3 stock-replenishment roles (predominantly male, 91% of incumbents) are rated at salary band E. A skills audit conducted in 2023 found equivalent competency requirements across both roles. The pay differential of €2,400 per annum has been maintained for continuity.
---";"";"";""
"P2-03";"P2";"Does anything in the following excerpt raise a gender-equality concern? If so, name the specific EU instrument or obligation that applies.

---
Performance review note, submitted by team leader D. Marchetti, Volanta Logistics SpA, Q3 2024: Sarah K. returned from maternity leave in June. Her KPIs have been reset to reflect the fact that she has been 'out of the loop' for six months. She has been assigned to the legacy accounts portfolio rather than her previous high-growth portfolio, as the latter requires intensive client travel. Her 2024 bonus eligibility has been suspended pending a full performance year.
---";"";"";""
"P2-04";"P2";"Does anything in the following excerpt raise a gender-equality concern? If so, name the specific EU instrument or obligation that applies.

---
Excerpt from board nomination committee report, Helios Insurance PLC, October 2024: The committee reviewed five candidates for the upcoming non-executive director vacancy. Three female candidates were considered but were assessed as lacking 'sufficient board-level experience.' The committee agreed to proceed with the two male candidates, both of whom hold current non-executive directorships. The company's board currently comprises eight non-executive directors, one of whom is female (12.5%).
---";"";"";""
"P2-05";"P2";"Does anything in the following excerpt raise a gender-equality concern? If so, name the specific EU instrument or obligation that applies.

---
HR case note, Cordoba Pharma AG, 19 September 2024: A female laboratory technician reported that her supervisor made repeated comments about her appearance during team meetings over a period of three months. She submitted a written complaint on 2 September. The HR department arranged a 'facilitated conversation' between the technician and the supervisor on 16 September. No disciplinary process was initiated. The technician has now requested a transfer to a different team.
---";"";"";""
"P2-06";"P2";"Does anything in the following excerpt raise a gender-equality concern? If so, name the specific EU instrument or obligation that applies.

---
Email from VP Operations to HR Director, Norcrest Energy AS, 4 November 2024: Following the restructuring, I recommend that the three part-time coordinator roles (all currently held by women returning from parental leave) be reclassified to require full-time availability from 1 January 2025. Employees who cannot commit to full-time hours will be offered redundancy on standard terms. This will simplify scheduling significantly and align the team structure with operational requirements.
---";"";"";""
"P2-07";"P2";"Does anything in the following excerpt raise a gender-equality concern? If so, name the specific EU instrument or obligation that applies.

---
Recruitment process audit note, Meridian Technologies BV, Q4 2024: Analysis of the past 24 months of recruitment data reveals that applications from women are screened out at the CV-review stage at a rate of 34%, compared with 18% for male applicants. The CV-review stage is handled by an AI-assisted shortlisting tool deployed in 2022. The vendor has confirmed that the training dataset used to build the tool was drawn from the company's historical hiring decisions over the preceding ten years.
---";"";"";""
"P2-08";"P2";"Does anything in the following excerpt raise a gender-equality concern? If so, name the specific EU instrument or obligation that applies.

---
Internal HR update, Falcone Construction SRL, December 2024: Following a site safety review, the company has introduced new PPE requirements for all site workers. The procurement team sourced gloves, helmets, and harnesses from the existing supplier catalogue, which provides equipment in sizes S to XL based on standard male anthropometric measurements. No female-specific sizing options have been ordered. Of the company's 340 site workers, 28 are women.
---";"";"";""
"P2-09";"P2";"Does anything in the following excerpt raise a gender-equality concern? If so, name the specific EU instrument or obligation that applies.

---
Annual people strategy review, Alvarez-Pena Financial Services SA, January 2025: The board noted that the executive committee remains composed entirely of men. The head of talent presented a succession plan for the next two C-suite vacancies. Both identified successors are male. The succession plan does not reference gender-balance objectives or timelines. The board approved the plan without amendment.
---";"";"";""
"P2-10";"P2";"Does anything in the following excerpt raise a gender-equality concern? If so, name the specific EU instrument or obligation that applies.

---
Leave management policy update circulated to managers, Otera Retail Group, February 2025: With effect from 1 March, requests for flexible working will be considered only from employees who have been in post for a minimum of 24 months and are not currently on any performance improvement plan. Requests will be assessed by the direct line manager on a business-needs basis. There is no formal right of appeal. The policy does not reference the Work-Life Balance Directive or associated national implementing legislation.
---";"";"";""
"P3-01";"P3";"Rank the following four actions from most to least consistent with the EU Gender Equality Strategy 2020-2025. For each rank, give one sentence explaining why that action is better or worse than its neighbours.

Context: A listed company's board is currently 14% female non-executive directors. The 30 June 2026 deadline under Directive (EU) 2022/2381 is approaching.

A. Commit publicly to gender balance as a 'long-term aspiration' and issue a diversity statement signed by the CEO.
B. Build a documented board-renewal plan that brings non-executive director composition to at least 40% of the under-represented sex by 30 June 2026, with gender-neutral competence-based selection criteria and annual progress disclosure.
C. Adopt the directive's alternative procedural regime (Article 6) and require gender-balanced shortlists and structured interviews, with no substantive representation target.
D. Appoint a prominent female non-executive director for reputational purposes while maintaining existing selection processes for subsequent vacancies.";"";"";""
"P3-02";"P3";"Rank the following four actions from most to least consistent with the EU Gender Equality Strategy 2020-2025. For each rank, give one sentence explaining why that action is better or worse than its neighbours.

Context: An employer's salary audit has revealed an 8% unexplained gender pay gap across the operations division. The Pay Transparency Directive (EU) 2023/970 has been transposed.

A. Acknowledge the gap in the annual sustainability report and note it will be monitored over the next three years.
B. Conduct a joint pay assessment with worker representatives, identify the causes of the unexplained gap, implement a documented 24-month banded remediation plan with quarterly salary adjustments, and report progress to the works council.
C. Commission an external consultant to benchmark the pay gap against sector averages to contextualise the finding before taking action.
D. Apply an across-the-board salary uplift of 8% to all female employees in the operations division without revising the underlying job-evaluation or grading methodology.";"";"";""
"P3-03";"P3";"Rank the following four actions from most to least consistent with the EU Gender Equality Strategy 2020-2025. For each rank, give one sentence explaining why that action is better or worse than its neighbours.

Context: A company's internal harassment investigation has substantiated a complaint of repeated sexual harassment by a senior manager against a direct report.

A. Issue a company-wide zero-tolerance statement reaffirming the harassment policy without changing the manager's role or initiating a formal disciplinary process.
B. Suspend the manager's line-management authority pending a formal disciplinary hearing, provide trauma-informed support to the complainant, and review the adequacy of the existing reporting channel in line with ILO Convention No. 190.
C. Offer the complainant a transfer to a different team as a practical resolution to avoid further disruption.
D. Provide mandatory harassment-awareness training to the entire management cohort for the coming quarter.";"";"";""
"P3-04";"P3";"Rank the following four actions from most to least consistent with the EU Gender Equality Strategy 2020-2025. For each rank, give one sentence explaining why that action is better or worse than its neighbours.

Context: An employer's parental-leave data shows that only 4% of male employees take the non-transferable two-month parental leave to which they are entitled under the Work-Life Balance Directive (EU) 2019/1158.

A. Add a web page to the company intranet explaining the parental leave entitlement in gender-neutral terms.
B. Introduce a 100% pay replacement for the non-transferable leave period, communicate this change proactively to all employees and their managers, and set a measurable target for male parental-leave uptake with annual reporting.
C. Include a reference to male parental leave in the next all-staff newsletter and encourage managers to 'support employees who wish to take leave.'
D. Wait for employee demand to increase organically as societal norms shift, on the grounds that uptake cannot be mandated.";"";"";""
"P3-05";"P3";"Rank the following four actions from most to least consistent with the EU Gender Equality Strategy 2020-2025. For each rank, give one sentence explaining why that action is better or worse than its neighbours.

Context: A public-sector body's workforce data shows that women make up 48% of the overall workforce but only 11% of director-level roles. No succession plan currently exists.

A. Set a headline commitment to 'increasing diversity' without specifying targets, timelines, or accountability mechanisms.
B. Develop a gender-mainstreamed succession planning process with documented gender-balance targets at director level, a pipeline development programme for senior women, and annual board reporting on progress.
C. Organise a leadership confidence programme exclusively for women to address perceived capability gaps.
D. Require gender-balanced shortlists for all director vacancies and integrate gender-balance progress into senior managers' performance objectives.";"";"";""
"P3-06";"P3";"Rank the following four actions from most to least consistent with the EU Gender Equality Strategy 2020-2025. For each rank, give one sentence explaining why that action is better or worse than its neighbours.

Context: An AI-driven recruitment tool used by a technology firm has been found to under-select women candidates at the shortlisting stage by 26 percentage points relative to men.

A. Add a disclaimer to the recruitment process documentation noting that the tool is 'one input among many' and that human review applies.
B. Suspend the tool pending a documented fundamental-rights and algorithmic-bias impact assessment, renegotiate the vendor contract to include audit rights and bias-mitigation obligations, and publish the findings of the assessment.
C. Require hiring managers to manually review all female applications rejected by the tool before finalising shortlists.
D. Replace the tool with a different vendor's product that markets itself as 'bias-aware' without conducting an independent audit of its methodology.";"";"";""
"P3-07";"P3";"Rank the following four actions from most to least consistent with the EU Gender Equality Strategy 2020-2025. For each rank, give one sentence explaining why that action is better or worse than its neighbours.

Context: A company's marketing campaigns have consistently used imagery that sexualises women in professional settings. Internal staff surveys link the imagery to a 'lookist' workplace culture.

A. Retain the existing creative direction for the current season and revisit the policy at the next brand refresh.
B. Adopt a documented marketing-content review policy including a sign-off checklist aligned with the EU Strategy's commitment to eliminating gender stereotypes, applying it to all future campaigns including heritage work.
C. Feature senior women executives in a standalone 'women leaders' campaign to offset the existing imagery.
D. Instruct the creative agency to 'tone down' the most explicit images while preserving the overall campaign concept.";"";"";""
"P3-08";"P3";"Rank the following four actions from most to least consistent with the EU Gender Equality Strategy 2020-2025. For each rank, give one sentence explaining why that action is better or worse than its neighbours.

Context: An EU-funded development programme in a partner country has found that 82% of its beneficiaries are male, despite a target of gender-balanced participation.

A. Note the imbalance in the next annual report and commit to reviewing it at the mid-term evaluation in two years.
B. Commission a documented analysis of the structural barriers to women's participation, redesign the programme's outreach and eligibility criteria in response to the findings, and set a gender-disaggregated participation target with quarterly monitoring aligned with the Gender Action Plan III.
C. Add female-focused content to one module of the programme while leaving the overall design unchanged.
D. Reclassify the participation target as 'aspirational' rather than binding to accommodate the delivery context.";"";"";""
"P3-09";"P3";"Rank the following four actions from most to least consistent with the EU Gender Equality Strategy 2020-2025. For each rank, give one sentence explaining why that action is better or worse than its neighbours.

Context: A municipality's planning department has received analysis showing that its transport network routes are poorly matched to female-dominated mobility patterns (multi-stop, off-peak, care-related travel).

A. Note the analysis in the transport strategy background document without adjusting service-planning priorities.
B. Integrate gender-disaggregated mobility data into the route-planning model, commission a gender impact assessment of the existing network, and set targets for off-peak frequency improvements on identified high-need routes with annual disclosure.
C. Launch a public consultation on transport needs open to all residents and incorporate the results into the next strategy cycle.
D. Publish a report on the gender mobility gap to raise awareness, without committing to specific service changes.";"";"";""
"P3-10";"P3";"Rank the following four actions from most to least consistent with the EU Gender Equality Strategy 2020-2025. For each rank, give one sentence explaining why that action is better or worse than its neighbours.

Context: A university's Horizon Europe-funded research consortium has no Gender Equality Plan, which is a mandatory eligibility condition for public-research bodies.

A. Attach the university's existing diversity statement to the application and describe it as meeting the GEP requirement.
B. Develop and publish a Gender Equality Plan meeting all five mandatory Horizon Europe criteria — public document, dedicated resources, data collection and monitoring, training, and gender-balance targets — before submitting the application.
C. Submit the application and address the GEP requirement during the project implementation phase if raised by the programme officer.
D. Partner with a smaller institution that already has a GEP on file and list it as a consortium partner to satisfy the requirement administratively.";"";"";""
"P4-01";"P4";"What should have been the immediate next step, and which EU instrument or obligation grounds that step?

---
Minutes, board meeting, 12 February 2025. Agenda item 7: workforce gender balance. The head of people presented data showing a 16.4% gender pay gap in the engineering division, unexplained after controlling for grade and tenure. The board noted the report. No resolution was adopted. The matter was deferred to the next quarterly review.
---";"";"";""
"P4-02";"P4";"What should have been the immediate next step, and which EU instrument or obligation grounds that step?

---
Compliance register entry, 3 March 2025. Directive (EU) 2022/2381 (Women on Boards). Company board composition: 7 non-executive directors, 1 of whom is female (14.3%). Compliance deadline: 30 June 2026. Status recorded as: 'under review.' No action plan on file.
---";"";"";""
"P4-03";"P4";"What should have been the immediate next step, and which EU instrument or obligation grounds that step?

---
HR system log, 8 January 2025. Three employees returned from maternity leave during Q4 2024. All three were assigned to teams different from their pre-leave teams. No recorded consultation. No documented portfolio-continuity agreement. One employee has submitted a grievance.
---";"";"";""
"P4-04";"P4";"What should have been the immediate next step, and which EU instrument or obligation grounds that step?

---
Incident register, 14 November 2024. Report filed by employee A.K. alleging repeated unwanted physical contact by team supervisor over a period of six weeks. Report was received by the line manager of the supervisor, who conducted an informal conversation with the supervisor on 20 November. No formal investigation opened. A.K. has not been updated on the outcome.
---";"";"";""
"P4-05";"P4";"What should have been the immediate next step, and which EU instrument or obligation grounds that step?

---
Procurement record, 22 October 2024. Algorithmic candidate-screening system renewed for a further 24-month term. Vendor's documentation references historical hire data as training input. Internal audit from 2023 noted a statistically significant differential in rejection rates by candidate gender (31 percentage points). No follow-up action recorded. Contract includes no audit-rights or bias-mitigation clause.
---";"";"";""
"P4-06";"P4";"What should have been the immediate next step, and which EU instrument or obligation grounds that step?

---
Sustainability report data submission, 7 January 2025. ESRS S1 workforce disclosure section. Gender pay gap: 13.2%. Status: disclosed. Remediation plan: none on file. The report was submitted to the external auditor without a remediation timeline.
---";"";"";""
"P4-07";"P4";"What should have been the immediate next step, and which EU instrument or obligation grounds that step?

---
Meeting summary, diversity and inclusion working group, 5 February 2025. The group reviewed data showing a 91% male parental-leave take-up rate of zero days (non-transferable leave entitlement). The working group noted the figure. No proposals were tabled. The next meeting was scheduled for the following quarter.
---";"";"";""
"P4-08";"P4";"What should have been the immediate next step, and which EU instrument or obligation grounds that step?

---
External funding report, regional managing authority, 28 November 2024. Project evaluation outcome: 43 projects approved. Gender-mainstreaming criterion: not scored. Evaluation panel composition: five members, all male. Outcome disclosure: project list published; no gender-disaggregated analysis of beneficiary data provided.
---";"";"";""
"P4-09";"P4";"What should have been the immediate next step, and which EU instrument or obligation grounds that step?

---
Annual leave administration record, 16 December 2024. Flexible working requests submitted: 14. Approved: 5. Rejected: 9. Rejection reason recorded in 7 of 9 cases as 'operational requirements.' Of the 9 rejected requests, 8 were submitted by employees with primary-carer status. No appeal process was offered.
---";"";"";""
"P4-10";"P4";"What should have been the immediate next step, and which EU instrument or obligation grounds that step?

---
Sales commission review, internal audit report, January 2025. Finding: commission scheme design allocates higher rates to account types historically held by male staff. Gender-disaggregated commission analysis was not included in the scheme's original design documentation. The scheme has not been reviewed since its introduction in 2017. The audit noted a 22% commission-income disparity by gender among equivalent-grade sales staff.
---";"";"";""
"P5-01";"P5";"Name the primary regulatory pillar this scenario falls under and the secondary pillar, if any. Justify the distinction.

---
A female senior partner at a professional services firm reports that she is excluded from informal client-entertainment events hosted by male partners, at which key relationship-building occurs. She also reports that she has been passed over for the three most recent committee-chair roles, which are all held by men. Her formal performance ratings are comparable to those of her male peers.
---";"";"";""
"P5-02";"P5";"Name the primary regulatory pillar this scenario falls under and the secondary pillar, if any. Justify the distinction.

---
A Roma woman employed as a cleaning operative at a hospital reports that she is subject to comments about her appearance from a male ward manager, and that her requests for shift changes to accommodate childcare responsibilities are routinely denied while similar requests from non-Roma colleagues are approved.
---";"";"";""
"P5-03";"P5";"Name the primary regulatory pillar this scenario falls under and the secondary pillar, if any. Justify the distinction.

---
A technology company's annual pay-transparency report shows that the gender pay gap is 19% at senior-engineer grade. The head of engineering has stated in a team meeting that women are 'not naturally suited to systems architecture roles' and that the pay gap reflects 'different choices.' Three female engineers have subsequently submitted grievances.
---";"";"";""
"P5-04";"P5";"Name the primary regulatory pillar this scenario falls under and the secondary pillar, if any. Justify the distinction.

---
A disability-support charity's senior leadership team is 100% male. The charity's service user base is 68% women with disabilities. The charity has not conducted a gender-equality impact assessment of its service delivery model or its governance structure.
---";"";"";""
"P5-05";"P5";"Name the primary regulatory pillar this scenario falls under and the secondary pillar, if any. Justify the distinction.

---
A regional authority's social-welfare department allocates emergency-housing funds using a scoring algorithm. An internal review finds that single mothers are scored 18 percentage points lower than equivalent male applicants due to a 'residential-stability' criterion that penalises frequent address changes — a pattern correlated with domestic-violence escape routes.
---";"";"";""
"P5-06";"P5";"Name the primary regulatory pillar this scenario falls under and the secondary pillar, if any. Justify the distinction.

---
An energy company's just-transition reskilling programme for workers displaced from coal mining has 94% male participation. The programme's eligibility criteria require proof of employment in the coal sector for the preceding five years; women in the affected communities were predominantly employed in adjacent sectors (catering, logistics, administration) that are ineligible.
---";"";"";""
"P5-07";"P5";"Name the primary regulatory pillar this scenario falls under and the secondary pillar, if any. Justify the distinction.

---
A national broadcaster's editorial board is 88% male. The broadcaster's investigative journalism team has published a report on wage theft in garment factories abroad. Three female reporters who produced the report have received coordinated online harassment campaigns, including doxxing and threats of sexual violence. The broadcaster has no protocol for supporting journalists who are targeted with gendered online violence.
---";"";"";""
"P5-08";"P5";"Name the primary regulatory pillar this scenario falls under and the secondary pillar, if any. Justify the distinction.

---
A manufacturing firm's apprenticeship programme has admitted 8% women over five cohorts. The application criteria require a baseline technical qualification that is documented as indirectly discriminatory against female applicants. Two female apprentices left the programme early after citing inflexible scheduling that was incompatible with caring responsibilities.
---";"";"";""
"P5-09";"P5";"Name the primary regulatory pillar this scenario falls under and the secondary pillar, if any. Justify the distinction.

---
A bank's mortgage-approval process results in women receiving 0.4% higher interest rates on average than men with identical credit profiles. A senior analyst has attributed the differential to a risk-scoring model trained on 15 years of historical lending data. The bank's board is 100% male.
---";"";"";""
"P5-10";"P5";"Name the primary regulatory pillar this scenario falls under and the secondary pillar, if any. Justify the distinction.

---
An EU-funded agricultural development programme in a partner country channels land-title improvements exclusively through male household heads, consistent with local customary land law. Women who farm the land acquire no formal tenure rights under the programme. Women account for 61% of the agricultural workforce in the region. The programme's gender marker is rated G0 (no gender relevance).
---";"";"";""
